MY_OPTIMIZER seed: 0
seed for the noise set to: 30
  f111 in 2-D, instance 10: FEs=40, fbest-ftarget=4.7010e+00, elapsed time [h]: 0.00
  f111 in 2-D, instance 11: FEs=40, fbest-ftarget=2.3698e+00, elapsed time [h]: 0.00
  f111 in 2-D, instance 12: FEs=40, fbest-ftarget=7.0491e+00, elapsed time [h]: 0.00
  f111 in 2-D, instance 13: FEs=40, fbest-ftarget=2.3803e+00, elapsed time [h]: 0.00
  f111 in 2-D, instance 14: FEs=40, fbest-ftarget=4.8354e-01, elapsed time [h]: 0.00
  f111 in 2-D, instance 15: FEs=40, fbest-ftarget=1.4556e+01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:55 2010
  f112 in 2-D, instance 1: FEs=40, fbest-ftarget=3.0790e+00, elapsed time [h]: 0.00
  f112 in 2-D, instance 2: FEs=40, fbest-ftarget=5.5005e+01, elapsed time [h]: 0.00
  f112 in 2-D, instance 3: FEs=40, fbest-ftarget=5.9845e+00, elapsed time [h]: 0.00
  f112 in 2-D, instance 4: FEs=40, fbest-ftarget=8.1759e+00, elapsed time [h]: 0.00
  f112 in 2-D, instance 5: FEs=40, fbest-ftarget=4.0577e+00, elapsed time [h]: 0.00
  f112 in 2-D, instance 6: FEs=40, fbest-ftarget=1.5347e+00, elapsed time [h]: 0.00
  f112 in 2-D, instance 7: FEs=40, fbest-ftarget=4.3932e+00, elapsed time [h]: 0.00
  f112 in 2-D, instance 8: FEs=40, fbest-ftarget=4.7893e+01, elapsed time [h]: 0.00
  f112 in 2-D, instance 9: FEs=40, fbest-ftarget=6.3760e+00, elapsed time [h]: 0.00
  f112 in 2-D, instance 10: FEs=40, fbest-ftarget=2.3723e+00, elapsed time [h]: 0.00
  f112 in 2-D, instance 11: FEs=40, fbest-ftarget=8.6886e+00, elapsed time [h]: 0.00
  f112 in 2-D, instance 12: FEs=40, fbest-ftarget=4.7803e+01, elapsed time [h]: 0.00
  f112 in 2-D, instance 13: FEs=40, fbest-ftarget=5.7869e+00, elapsed time [h]: 0.00
  f112 in 2-D, instance 14: FEs=40, fbest-ftarget=2.1489e+00, elapsed time [h]: 0.00
  f112 in 2-D, instance 15: FEs=40, fbest-ftarget=1.1115e+01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:56 2010
  f113 in 2-D, instance 1: FEs=40, fbest-ftarget=6.0092e-01, elapsed time [h]: 0.00
  f113 in 2-D, instance 2: FEs=40, fbest-ftarget=3.7089e+00, elapsed time [h]: 0.00
  f113 in 2-D, instance 3: FEs=40, fbest-ftarget=3.4403e+00, elapsed time [h]: 0.00
  f113 in 2-D, instance 4: FEs=40, fbest-ftarget=4.8345e+00, elapsed time [h]: 0.00
  f113 in 2-D, instance 5: FEs=40, fbest-ftarget=6.3038e-01, elapsed time [h]: 0.00
  f113 in 2-D, instance 6: FEs=40, fbest-ftarget=2.2149e+00, elapsed time [h]: 0.00
  f113 in 2-D, instance 7: FEs=40, fbest-ftarget=1.0881e+00, elapsed time [h]: 0.00
  f113 in 2-D, instance 8: FEs=40, fbest-ftarget=9.4237e-01, elapsed time [h]: 0.00
  f113 in 2-D, instance 9: FEs=40, fbest-ftarget=2.8099e+00, elapsed time [h]: 0.00
  f113 in 2-D, instance 10: FEs=40, fbest-ftarget=5.8155e-01, elapsed time [h]: 0.00
  f113 in 2-D, instance 11: FEs=40, fbest-ftarget=1.0837e+00, elapsed time [h]: 0.00
  f113 in 2-D, instance 12: FEs=40, fbest-ftarget=1.4219e-01, elapsed time [h]: 0.00
  f113 in 2-D, instance 13: FEs=40, fbest-ftarget=3.1259e+00, elapsed time [h]: 0.00
  f113 in 2-D, instance 14: FEs=40, fbest-ftarget=1.7487e+01, elapsed time [h]: 0.00
  f113 in 2-D, instance 15: FEs=40, fbest-ftarget=3.9794e+00, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:56 2010
  f114 in 2-D, instance 1: FEs=40, fbest-ftarget=2.0686e+00, elapsed time [h]: 0.00
  f114 in 2-D, instance 2: FEs=40, fbest-ftarget=3.2602e+00, elapsed time [h]: 0.00
  f114 in 2-D, instance 3: FEs=40, fbest-ftarget=3.4403e+00, elapsed time [h]: 0.00
  f114 in 2-D, instance 4: FEs=40, fbest-ftarget=7.6298e-01, elapsed time [h]: 0.00
  f114 in 2-D, instance 5: FEs=40, fbest-ftarget=6.3038e-01, elapsed time [h]: 0.00
  f114 in 2-D, instance 6: FEs=40, fbest-ftarget=4.1226e+00, elapsed time [h]: 0.00
  f114 in 2-D, instance 7: FEs=40, fbest-ftarget=1.2141e-01, elapsed time [h]: 0.00
  f114 in 2-D, instance 8: FEs=40, fbest-ftarget=9.4237e-01, elapsed time [h]: 0.00
  f114 in 2-D, instance 9: FEs=40, fbest-ftarget=7.2323e+00, elapsed time [h]: 0.00
  f114 in 2-D, instance 10: FEs=40, fbest-ftarget=2.9165e+00, elapsed time [h]: 0.00
  f114 in 2-D, instance 11: FEs=40, fbest-ftarget=1.0837e+00, elapsed time [h]: 0.00
  f114 in 2-D, instance 12: FEs=40, fbest-ftarget=2.5091e+00, elapsed time [h]: 0.00
  f114 in 2-D, instance 13: FEs=40, fbest-ftarget=3.2022e-01, elapsed time [h]: 0.00
  f114 in 2-D, instance 14: FEs=40, fbest-ftarget=6.9184e+00, elapsed time [h]: 0.00
  f114 in 2-D, instance 15: FEs=40, fbest-ftarget=3.7811e-01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:57 2010
  f115 in 2-D, instance 1: FEs=40, fbest-ftarget=2.7701e+00, elapsed time [h]: 0.00
  f115 in 2-D, instance 2: FEs=40, fbest-ftarget=2.7921e+00, elapsed time [h]: 0.00
  f115 in 2-D, instance 3: FEs=40, fbest-ftarget=5.1229e-01, elapsed time [h]: 0.00
  f115 in 2-D, instance 4: FEs=40, fbest-ftarget=1.4698e+00, elapsed time [h]: 0.00
  f115 in 2-D, instance 5: FEs=40, fbest-ftarget=5.5827e+00, elapsed time [h]: 0.00
  f115 in 2-D, instance 6: FEs=40, fbest-ftarget=4.2744e+00, elapsed time [h]: 0.00
  f115 in 2-D, instance 7: FEs=40, fbest-ftarget=2.7461e+00, elapsed time [h]: 0.00
  f115 in 2-D, instance 8: FEs=40, fbest-ftarget=8.5944e-01, elapsed time [h]: 0.00
  f115 in 2-D, instance 9: FEs=40, fbest-ftarget=9.1581e+01, elapsed time [h]: 0.00
  f115 in 2-D, instance 10: FEs=40, fbest-ftarget=7.1484e+00, elapsed time [h]: 0.00
  f115 in 2-D, instance 11: FEs=40, fbest-ftarget=7.3662e+00, elapsed time [h]: 0.00
  f115 in 2-D, instance 12: FEs=40, fbest-ftarget=6.5217e-01, elapsed time [h]: 0.00
  f115 in 2-D, instance 13: FEs=40, fbest-ftarget=1.2809e+00, elapsed time [h]: 0.00
  f115 in 2-D, instance 14: FEs=40, fbest-ftarget=1.4180e-01, elapsed time [h]: 0.00
  f115 in 2-D, instance 15: FEs=40, fbest-ftarget=5.7499e-01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:29:58 2010
  f116 in 2-D, instance 1: FEs=40, fbest-ftarget=6.6754e+02, elapsed time [h]: 0.00
  f116 in 2-D, instance 2: FEs=40, fbest-ftarget=1.8438e+02, elapsed time [h]: 0.00
